frag	phylostrata	avg_mainAge
12_10824901_10829655	8	EM
12_10874937_10876635	1	UC
12_108906253_108916190	1	UC
12_108949022_108955660	2	UC
12_108956294_108957640	1	UC
12_108988708_108992385	8	EM
12_109022067_109027847	12	MM
12_109122677_109126504	2	UC
12_109244485_109254585	1.5	UC
12_109454361_109466194	1.5	UC
12_10947591_10957174	11	MM
12_109480472_109508794	2	UC
12_109529937_109533221	2	UC
12_109533222_109536923	1	UC
12_109547886_109559654	2	UC
12_10957175_10961798	12	MM
12_1095909_1105076	4	EM
12_10961799_10963175	12	MM
12_10973885_10979907	12	MM
12_109744049_109749865	4	EM
12_109910081_109917051	3	UC
12_110003429_110013940	1	UC
12_110150727_110154359	8	EM
12_110270155_110278516	8	EM
12_110432839_110434548	4	EM
12_110434549_110456880	2	UC
12_11047605_11062349	13.5	MM
12_110504862_110522794	15	MM
12_110561875_110565651	2	UC
12_11079271_11082516	14	MM
12_110839713_110880825	2	UC
12_110904166_110906265	3	UC
12_110906266_110907036	3	UC
12_110933755_110936332	1	UC
12_110938613_110940061	1.5	UC
12_111018469_111023784	2	UC
12_111048138_111055045	8	EM
12_111066104_111084198	8	EM
12_111142753_111142926	2	UC
12_111179428_111185289	2	UC
12_111279597_111284640	2	UC
12_111350041_111363260	7	EM
12_111469701_111478399	2	UC
12_111799033_111807470	15	MM
12_111834790_111862703	8	EM
12_112122963_112125773	1.5	UC
12_112439455_112451949	3.5	EM
12_112545555_112547519	2	UC
12_112843373_112874103	2	UC
12_11323831_11324713	14	MM
12_113367076_113378350	11	MM
12_11338581_11344241	12	MM
12_113406924_113419010	11	MM
12_113494038_113499930	5	EM
12_113570815_113575586	5	EM
12_113587609_113588039	12	MM
12_113608378_113625204	2	UC
12_113653872_113660136	2	UC
12_113794929_113798061	2	UC
12_113832616_113841847	2	UC
12_113859977_113873575	2	UC
12_113909019_113915730	4	EM
12_114399493_114405026	2	UC
12_11458148_11463956	2	UC
12_115119071_115123605	4	EM
12_116396378_116402716	4	EM
12_11649472_11661683	2	UC
12_116714223_116718352	4	EM
12_117168814_117190015	2	UC
12_117342122_117355856	4	EM
12_117627003_117633347	3	UC
12_117877980_117890794	1	UC
12_11800572_11809778	4	EM
12_118447916_118454250	1	UC
12_118497788_118501933	8	EM
12_118799031_118811404	4	EM
12_118813520_118817622	4	EM
12_119409291_119422859	3	UC
12_119548317_119560893	3	UC
12_119614373_119620027	6	EM
12_119771541_119772712	4	EM
12_120101527_120113352	2	UC
12_120311529_120318189	4	EM
12_120425136_120437242	5	EM
12_120631554_120637396	1.5	UC
12_120637397_120643597	1	UC
12_120740097_120745809	1	UC
12_120765298_120771617	5	EM
12_120793594_120808452	2	UC
12_120874755_120882797	3	UC
12_120882811_120896354	4	EM
12_120933112_120934476	2	UC
12_121016407_121019231	2	UC
12_121064885_121084698	8	EM
12_121114649_121127152	2	UC
12_121146859_121149254	2	UC
12_121162947_121185293	1	UC
12_121332211_121343846	2	UC
12_121407604_121418713	4	EM
12_121445411_121455685	5	EM
12_121562253_121577171	8	EM
12_121641961_121648730	4	EM
12_12197374_12203507	8	EM
12_122016757_122029082	2	UC
12_122056762_122064906	4	EM
12_122076422_122152877	2	UC
12_122226830_122233781	8	EM
12_122320301_122328819	2	UC
12_122328820_122347865	2	UC
12_122456715_122463095	4	EM
12_122510733_122518174	4	EM
12_122892516_122907764	2	UC
12_123011468_123014010	2	UC
12_123220188_123238430	2	UC
12_123258506_123264566	4	EM
12_123318339_123320795	2	UC
12_123378517_123383327	4	EM
12_123455277_123460716	1.5	UC
12_123460861_123473999	1.5	UC
12_123632688_123637424	2	UC
12_123705705_123710608	8	EM
12_123716447_123717906	8	EM
12_123728362_123733241	8	EM
12_123755274_123756888	5	EM
12_123834528_123845281	2	UC
12_124051507_124072556	2	UC
12_124082111_124092811	2	UC
12_124096644_124103319	2	UC
12_124111718_124123336	3.5	EM
12_124453780_124456405	12	MM
12_124456406_124460368	8	EM
12_124765999_124773787	8	EM
12_12502282_12507456	9	EM
12_125048886_125056455	2	UC
12_12507457_12515147	9.5	EM
12_125353726_125373256	4	EM
12_125400557_125402738	2	UC
12_125459769_125476354	2	UC
12_125476355_125499056	8	EM
12_125541824_125553041	1	UC
12_125669906_125672244	6	EM
12_12712921_12725994	2	UC
12_12759713_12779399	4	EM
12_12842027_12850634	5	EM
12_12864726_12871976	6	EM
12_12874876_12880508	9	EM
12_128750189_128760025	6	EM
12_129304621_129309649	1	UC
12_12951096_12967087	1	UC
12_13033962_13049035	9	EM
12_130384559_130393000	6	EM
12_130818510_130828621	2	UC
12_13105062_13110884	10	MM
12_131322793_131341345	2	UC
12_131355544_131362393	2	UC
12_131431724_131442208	4	EM
12_13152284_13154056	8	EM
12_13197096_13199808	8	EM
12_132194170_132206021	2	UC
12_132303816_132329728	5	EM
12_13255659_13261064	9	EM
12_132626183_132656521	2	UC
12_133327359_133341424	3	UC
12_133398771_133407740	6	EM
12_133407741_133450796	2	UC
12_13342838_13353401	9	EM
12_133452881_133468149	2	UC
12_133482695_133487879	2	UC
12_133531983_133544340	2	UC
12_133612719_133618840	2	UC
12_133653493_133671835	14	MM
12_133706248_133713251	7	EM
12_133806495_133823409	10	MM
12_14514454_14524838	5	EM
12_14846390_14858090	8	EM
12_14910558_14924443	2	UC
12_14955938_14958094	5.5	EM
12_14965625_14979725	9	EM
12_14994299_15011199	9	EM
12_15038075_15042327	8.5	EM
12_15091243_15092576	8	EM
12_15112851_15119221	2	UC
12_15124372_15127615	8	EM
12_16009121_16041462	3	UC
12_16061598_16064550	1	UC
12_1637927_1644594	5	EM
12_1699476_1712096	2	UC
12_1796050_1798892	1	UC
12_18399414_18402828	2	UC
12_18861938_18877879	8	EM
12_18889903_18891024	8	EM
12_18891025_18891177	9	EM
12_1925498_1931361	8	EM
12_2024526_2028315	4	EM
12_21588409_21591154	2	UC
12_21647006_21658967	1.5	UC
12_21674944_21690566	8	EM
12_21808545_21817115	1	UC
12_22191147_22201541	1	UC
12_22692467_22700314	2	UC
12_22777870_22780005	1	UC
12_24982749_24985231	1	UC
12_25101330_25103787	1	UC
12_25167421_25175231	4	EM
12_25250996_25263150	4	EM
12_25347738_25350255	2	UC
12_25391529_25406307	2	UC
12_26109299_26113240	5	EM
12_26276615_26280293	8	EM
12_26979009_26986461	4	EM
12_27088464_27108853	4	EM
12_27166326_27171341	4	EM
12_27171342_27178018	4	EM
12_27396025_27399536	2	UC
12_27485603_27486680	5	EM
12_27608437_27625940	12	MM
12_27671949_27676450	4	EM
12_27848655_27849808	11	MM
12_27861265_27864120	4	EM
12_27914587_27926746	11	MM
12_27931486_27940133	8	EM
12_28342751_28344189	5	EM
12_2902730_2905615	1	UC
12_2909575_2914773	1	UC
12_2919510_2932584	4	EM
12_29649169_29651053	6	EM
12_29669065_29673689	1	UC
12_29927280_29952094	1	UC
12_30846016_30850545	2	UC
12_30906902_30909795	8	EM
12_31077678_31081296	6	EM
12_31476368_31479637	9.5	EM
12_31479638_31482013	5	EM
12_31739520_31747517	2	UC
12_31799951_31800471	1	UC
12_31942889_31956854	2	UC
12_32111561_32113963	9	EM
12_32259284_32270445	5	EM
12_32546770_32553216	2	UC
12_32903689_32910520	1	UC
12_39297558_39303516	2	UC
12_3981184_3987901	8	EM
12_40010935_40014886	1	UC
12_40016489_40021747	10	MM
12_40497413_40501126	1	UC
12_40585009_40591437	5	EM
12_41581831_41584203	5	EM
12_42532365_42546263	1	UC
12_42630726_42638547	6	EM
12_42719143_42720928	5	EM
12_42737784_42747652	8	EM
12_42980914_42987579	4	EM
12_4380818_4386594	4	EM
12_44149653_44153263	3	UC
12_44198965_44204632	2	UC
12_44227958_44247623	5	EM
12_4423639_4434026	1	UC
12_45312160_45318276	6	EM
12_4548972_4556985	8	EM
12_45607157_45613932	2	UC
12_46118831_46137446	4	EM
12_46385539_46402650	8	EM
12_4645729_4651107	4	EM
12_4670424_4671511	2	UC
12_46761977_46777937	8	EM
12_4756948_4759257	6	EM
12_48099114_48099994	2	UC
12_48117446_48126677	2	UC
12_48130424_48151280	4	EM
12_48164048_48171426	4	EM
12_48211175_48234319	1	UC
12_48334236_48347448	6	EM
12_48355113_48358750	6	EM
12_48496946_48500599	1.5	UC
12_48573383_48575169	6	EM
12_48575170_48579022	11	MM
12_48596544_48599775	12	MM
12_48720784_48725232	12	MM
12_48742068_48748160	10	MM
12_48889704_48902585	12	MM
12_48962924_48964978	11	MM
12_49242128_49247759	1	UC
12_49256041_49272414	8	EM
12_49318425_49323390	8	EM
12_49349427_49359771	2	UC
12_49363557_49373703	6.5	EM
12_49388940_49393711	12	MM
12_49439377_49456758	2	UC
12_49460314_49478177	2	UC
12_49478178_49488808	5	EM
12_49488809_49519294	4	EM
12_49578753_49587190	2	UC
12_49651302_49659588	2	UC
12_49670398_49698371	8	EM
12_49716640_49720278	10	MM
12_49723250_49731692	8	EM
12_49756726_49760546	4	EM
12_49919244_49938528	4	EM
12_49955993_49965553	2	UC
12_50098050_50101820	2	UC
12_50101821_50108698	3	UC
12_50220728_50226761	8	EM
12_50233304_50241115	2	UC
12_50287717_50300159	4	EM
12_50343949_50347570	10	MM
12_50351967_50359031	1	UC
12_50359032_50362278	12	MM
12_50443134_50452299	2	UC
12_50466469_50480298	2	UC
12_50497569_50502461	1	UC
12_50561050_50570150	2	UC
12_50576675_50592368	2	UC
12_50606924_50618193	2	UC
12_50896880_50900000	1	UC
12_51149376_51160067	8	EM
12_51233802_51239907	9	EM
12_51316757_51319885	2	UC
12_51400418_51408296	1	UC
12_51418595_51430263	1	UC
12_51475368_51479860	6	EM
12_51541597_51571847	5	EM
12_51595456_51620923	8	EM
12_51660418_51664514	10	MM
12_51714449_51726341	6	EM
12_51737515_51742057	8	EM
12_51784576_51798844	3.5	EM
12_52375308_52390086	4	EM
12_52397713_52415316	4	EM
12_52415317_52416626	8	EM
12_52705686_52715379	10	MM
12_52759268_52763713	10	MM
12_52772817_52782324	12	MM
12_52798557_52805232	10	MM
12_52826290_52828695	2	UC
12_52838722_52846913	2	UC
12_52860110_52868961	2	UC
12_52882958_52889318	2	UC
12_52944103_52947114	10	MM
12_53011040_53015407	10	MM
12_53043526_53048274	2	UC
12_53169819_53174210	2	UC
12_53206186_53211657	2	UC
12_53216944_53233604	7	EM
12_53435302_53449577	4	EM
12_53470340_53473537	6	EM
12_53487965_53496258	8	EM
12_53497009_53518639	12	MM
12_53567505_53579056	4.5	EM
12_53587351_53604273	4	EM
12_53612753_53634559	6	EM
12_53643155_53648918	2	UC
12_53657221_53662869	2	UC
12_53688770_53692286	1	UC
12_53692287_53702410	1	UC
12_53718188_53721565	2	UC
12_53738932_53739343	8	EM
12_53773640_53774102	6	EM
12_53815443_53820530	8	EM
12_53820531_53839895	5	EM
12_53894681_53903756	4	EM
12_54066509_54072057	1	UC
12_54119685_54123291	8	EM
12_54325261_54335074	8	EM
12_54347781_54350982	6	EM
12_54362426_54374704	8	EM
12_54378272_54384954	8.5	EM
12_54386487_54402006	6.5	EM
12_54402007_54407158	8	EM
12_54410340_54414909	8	EM
12_54418775_54433988	8	EM
12_54552625_54577645	5	EM
12_54580445_54583080	5	EM
12_54668939_54675530	2	UC
12_54689885_54700766	7	EM
12_54757256_54764824	6	EM
12_54780495_54785743	6	EM
12_54810596_54813653	5	EM
12_54866141_54869574	5	EM
12_54888814_54898023	2	UC
12_54940769_54943756	2	UC
12_55372965_55378987	8	EM
12_5537843_5541826	8	EM
12_55413003_55421786	4	EM
12_55518791_55525932	10	MM
12_55610911_55615813	9	EM
12_55639003_55643325	11	MM
12_55687253_55698060	11	MM
12_55711883_55714870	11	MM
12_55719756_55728241	10	MM
12_55815230_55822776	10	MM
12_55885509_55889941	12	MM
12_55944930_55945900	8	EM
12_55957911_55969111	12	MM
12_56022741_56036339	11	MM
12_56105899_56110762	3.5	EM
12_56113720_56114259	8	EM
12_56116659_56137645	5.66666666666667	EM
12_56152535_56187484	2	UC
12_56210361_56214686	2	UC
12_56214687_56231267	8	EM
12_56320429_56321719	2	UC
12_56324082_56328876	2	UC
12_56328877_56348327	2	UC
12_56352281_56368666	4	EM
12_56384929_56392544	1	UC
12_56393456_56403996	4.5	EM
12_56434788_56438101	1	UC
12_56491197_56496295	6	EM
12_56510912_56512774	3.5	EM
12_56523367_56524617	2	UC
12_56544084_56559741	4	EM
12_56581323_56586730	2	UC
12_56614586_56616197	3	UC
12_56616198_56634832	3.5	EM
12_56646989_56661467	1	UC
12_56661468_56677346	1	UC
12_56691696_56695727	1	UC
12_56705304_56710873	2	UC
12_56725086_56736478	6	EM
12_56753398_56756074	10	MM
12_56756380_56762988	12	MM
12_56842593_56843551	2	UC
12_56855746_56868240	5.66666666666667	EM
12_56868241_56884457	1	UC
12_56915351_56916115	5	EM
12_57022867_57030701	4	EM
12_57080545_57088580	2	UC
12_57120670_57126337	2	UC
12_57326575_57328791	1	UC
12_57346889_57353382	1	UC
12_57387551_57392948	8	EM
12_57399089_57400611	8	EM
12_57419095_57427040	6	EM
12_57437981_57450059	2	UC
12_57478046_57490484	6	EM
12_57518762_57523884	5	EM
12_57523885_57526598	8	EM
12_57587533_57602913	2	UC
12_57602914_57623248	4.5	EM
12_57630532_57634994	8	EM
12_57643881_57647878	6	EM
12_57821437_57831501	7	EM
12_57841970_57847045	12	MM
12_57847046_57863106	8.5	EM
12_57868429_57872771	6.5	EM
12_57872772_57895507	6.5	EM
12_57896072_57910126	1	UC
12_57910127_57920035	10	MM
12_57938678_57948504	2	UC
12_57981696_57992705	8	EM
12_57992706_58021062	7	EM
12_58024484_58032554	8	EM
12_58085922_58096978	2	UC
12_58107250_58125391	2	UC
12_58130768_58134515	4	EM
12_58134516_58138608	4	EM
12_58141865_58150539	8	EM
12_58150540_58161744	8	EM
12_58161745_58167698	5	EM
12_58173701_58180125	1	UC
12_58194310_58203982	2	UC
12_58210700_58212639	2	UC
12_58332587_58338979	2	UC
12_59982628_59994269	3	UC
12_62646970_62662060	5	EM
12_62671845_62673983	5	EM
12_62859357_62860657	2	UC
12_62996154_62999857	14	MM
12_6305102_6318727	6	EM
12_63327583_63329242	4	EM
12_6414977_6420940	11	MM
12_64172643_64174496	4	EM
12_64228071_64242569	4	EM
12_6444218_6455942	8	EM
12_64612574_64620170	4	EM
12_6472406_6490803	8.5	EM
12_64844438_64854010	5	EM
12_64995195_65006738	8	EM
12_65140820_65154797	1	UC
12_65173998_65179307	4	EM
12_65514671_65517164	5	EM
12_6553533_6554821	5	EM
12_65561720_65563509	4	EM
12_6558665_6568606	8	EM
12_65659847_65673627	1	UC
12_6575196_6580413	2	UC
12_6602233_6606235	4	EM
12_6609864_6625944	2	UC
12_66212771_66220714	3	UC
12_66271967_66278929	15	MM
12_6641136_6645372	1	UC
12_66522874_66525105	5	EM
12_6652529_6658367	8	EM
12_66563076_66565451	1	UC
12_6658619_6666581	8	EM
12_6666582_6685049	1.5	UC
12_66690971_66696827	5	EM
12_6685050_6692987	2	UC
12_6711205_6741803	2	UC
12_67194931_67198287	6	EM
12_6749804_6754440	9	EM
12_6754441_6771398	5.5	EM
12_6771399_6776625	2	UC
12_6782757_6800740	6	EM
12_6801801_6814662	9	EM
12_68039868_68047231	2	UC
12_6831898_6833309	2	UC
12_68552848_68565297	9	EM
12_68618006_68625289	9	EM
12_68723761_68734650	4	EM
12_6874349_6875080	9	EM
12_6875081_6883918	6.66666666666667	EM
12_6895382_6901849	9	EM
12_69076409_69082720	2	UC
12_69199429_69206632	4	EM
12_6921878_6943614	9	EM
12_6943615_6956171	9	EM
12_6956172_6964790	3.5	EM
12_69617949_69635308	2	UC
12_6965724_6986762	1.66666666666667	UC
12_69736454_69748441	6	EM
12_69751026_69755643	2	UC
12_69860683_69864942	6	EM
12_6996470_7017338	2	UC
12_69977699_69979912	2	UC
12_70001847_70011709	8	EM
12_70121150_70135371	4	EM
12_70214719_70220221	4	EM
12_7021929_7036348	2.33333333333333	UC
12_7041470_7053123	3	UC
12_7053124_7063702	2	UC
12_70633189_70637973	2	UC
12_7063703_7078301	1	UC
12_7078398_7083461	1	UC
12_7084300_7104267	5	EM
12_71030254_71031990	2	UC
12_7122839_7133952	4	EM
12_71830706_71835925	5	EM
12_72056566_72058230	8	EM
12_72058538_72069985	8	EM
12_72077411_72088999	1	UC
12_72146912_72152876	2	UC
12_72232054_72238895	2	UC
12_7242357_7254410	12	MM
12_72478200_72483062	8	EM
12_7260342_7262367	12	MM
12_7276374_7290836	7	EM
12_7320526_7358233	2	UC
12_7455402_7459564	1	UC
12_756157_773248	6	EM
12_75726409_75741957	2	UC
12_75779307_75785895	6.5	EM
12_75871665_75877159	7	EM
12_75902102_75907315	1	UC
12_7632290_7633352	2	UC
12_76424220_76432518	5	EM
12_76477332_76482479	2	UC
12_76736276_76748012	5	EM
12_76950141_76953949	2	UC
12_77156561_77160084	2	UC
12_77269560_77275010	2	UC
12_7843266_7848720	8	EM
12_7854147_7867869	13	MM
12_80080060_80086086	5	EM
12_80212722_80220626	5	EM
12_80320345_80330238	5	EM
12_8085148_8089893	2	UC
12_8183962_8192504	9	EM
12_8214668_8222542	9	EM
12_8274762_8282660	6	EM
12_82751931_82753478	2	UC
12_83077894_83081508	2	UC
12_85428682_85430616	8	EM
12_857252_865548	2	UC
12_86266460_86278365	8	EM
12_8689919_8695679	6	EM
12_8813249_8825421	8	EM
12_88420106_88427739	9	EM
12_88427740_88429867	9	EM
12_88527948_88536327	1.5	UC
12_8972319_8975489	5	EM
12_89741722_89751488	7	EM
12_89917112_89920122	2	UC
12_90100351_90108031	2	UC
12_9066183_9074416	4	EM
12_91347108_91349210	12	MM
12_92528801_92540680	5	EM
12_9268746_9269882	5	EM
12_92815378_92826491	15	MM
12_93085940_93097108	12	MM
12_93109580_93115434	4	EM
12_93322134_93337757	6	EM
12_93767445_93774109	1	UC
12_93830389_93843295	2	UC
12_93956470_93963635	5	EM
12_93963636_93966327	5	EM
12_94539470_94545410	8	EM
12_94851249_94862093	2	UC
12_95466821_95467837	5	EM
12_95610384_95612683	3.5	EM
12_95682433_95689834	5	EM
12_95866981_95868725	1	UC
12_95944964_95949471	6	EM
12_96181972_96187010	7	EM
12_96248886_96253472	2	UC
12_96335005_96336871	10	MM
12_96336872_96337798	1	UC
12_96388569_96390253	1	UC
12_96434902_96441410	2	UC
12_96583455_96594504	6	EM
12_96792262_96795604	3	UC
12_96882800_96886209	5	EM
12_9755784_9760513	10	MM
12_9883777_9890316	12	MM
12_98907290_98911535	4	EM
12_98986764_98989889	2	UC
12_98992214_98995286	2	UC
12_99035902_99040250	6	EM
12_9911472_9914117	8	EM
12_9974481_9981594	6	EM
13_100152861_100154160	2	UC
13_100245710_100259434	1	UC
13_100615888_100636305	4.5	EM
13_101241374_101243366	1	UC
13_102059922_102069713	3	UC
13_103053485_103059041	8	EM
13_103246239_103253860	2	UC
13_103346590_103348329	8	EM
13_103388883_103394452	12	MM
13_103423993_103429380	1	UC
13_103445832_103455316	2	UC
13_103459517_103460305	2	UC
13_103717950_103720189	1	UC
13_107186438_107189427	5	EM
13_107219738_107221199	2	UC
13_108866349_108872172	1.5	UC
13_110416266_110441766	4	EM
13_111114388_111127927	1	UC
13_111141251_111161832	1	UC
13_111212373_111214626	4	EM
13_111266228_111271041	1	UC
13_111358825_111369374	2	UC
13_111559126_111574331	5	EM
13_111766666_111769507	4	EM
13_112708988_112734936	3	UC
13_113546319_113551590	4	EM
13_113618556_113623809	4	EM
13_114143898_114146322	1.5	UC
13_114317404_114431708	8	EM
13_114459979_114470300	8	EM
13_114563529_114581855	8	EM
13_114994616_115001636	2	UC
13_115046237_115053296	8	EM
13_115077766_115084688	9	EM
13_19748331_19762686	8	EM
13_20207048_20208297	2	UC
13_20250208_20258168	8	EM
13_20356073_20358158	8	EM
13_20435843_20439495	12	MM
13_20529564_20535744	6	EM
13_20731890_20754708	6	EM
13_20766535_20771722	7	EM
13_21095765_21100943	1	UC
13_21140523_21140807	2	UC
13_21275733_21276593	8	EM
13_21340995_21353878	2	UC
13_21630497_21644042	2	UC
13_21714449_21715632	2	UC
13_21737402_21756935	4.5	EM
13_22028435_22035692	2	UC
13_22177639_22179049	4	EM
13_22242882_22246673	6	EM
13_24004435_24008508	2	UC
13_24142681_24144559	7	EM
13_24462761_24476452	5	EM
13_24476453_24480925	8	EM
13_24730741_24741240	2	UC
13_24825577_24831128	2	UC
13_25085894_25089523	4	EM
13_25254196_25255262	2	UC
13_25496503_25498656	2	UC
13_25663257_25671044	2	UC
13_25860965_25865865	2	UC
13_25873711_25876494	3	UC
13_25944281_25947473	2	UC
13_26619140_26634986	8	EM
13_26794376_26801986	8	EM
13_27741699_27747004	2	UC
13_27823081_27831489	1	UC
13_27841101_27852997	8	EM
13_27996285_27999040	2	UC
13_28022845_28025526	1	UC
13_28193395_28198318	4	EM
13_28365278_28371419	5	EM
13_28489531_28498133	7	EM
13_28541808_28545933	6	EM
13_28559236_28567375	1	UC
13_28711381_28714371	2	UC
13_29067651_29072162	6	EM
13_29230456_29236243	2	UC
13_29276040_29279459	6	EM
13_29290663_29302845	6	EM
13_30421988_30427089	3	UC
13_30879527_30882378	2	UC
13_31190013_31194589	5	EM
13_31303389_31311401	8	EM
13_31473111_31482751	8	EM
13_31505965_31510389	7	EM
13_31735094_31747390	2	UC
13_31772572_31775208	2	UC
13_32312030_32321626	4	EM
13_32604928_32607989	2	UC
13_32889224_32896768	4.5	EM
13_32988011_32995211	6	EM
13_33111604_33115084	6	EM
13_34391841_34394329	1	UC
13_35513664_35518235	2	UC
13_36048095_36051725	3.5	EM
13_36920118_36921578	8.5	EM
13_36942030_36950393	2	UC
13_36992917_37008543	2	UC
13_37389617_37398257	8	EM
13_37570376_37582133	1	UC
13_37631638_37640284	4	EM
13_37676677_37681497	2	UC
13_38923566_38926106	2	UC
13_39564872_39565516	1	UC
13_39608238_39618828	8	EM
13_40175706_40178589	4	EM
13_41236517_41247988	6	EM
13_41356763_41371979	2	UC
13_41629564_41638483	3	UC
13_41701841_41709564	8	EM
13_41767831_41771446	8	EM
13_41834524_41839247	1	UC
13_41885032_41886699	2	UC
13_42530575_42535757	1	UC
13_42609589_42615555	4	EM
13_42615556_42623900	4	EM
13_42845474_42848373	8	EM
13_43136322_43137405	9	EM
13_43562440_43568933	5	EM
13_43596912_43601073	1	UC
13_44355370_44363364	5	EM
13_44450374_44455468	5	EM
13_44733478_44739987	14	MM
13_44947216_44949067	2	UC
13_45146990_45153006	4	EM
13_45560019_45567226	2	UC
13_45692578_45696074	2	UC
13_45909819_45913812	2	UC
13_45913813_45916067	2	UC
13_46037281_46042752	2	UC
13_46625515_46627796	2	UC
13_46784187_46789506	3	UC
13_47126150_47129696	6	EM
13_47369184_47373561	1	UC
13_47467733_47473109	8	EM
13_48610827_48617776	1	UC
13_48645254_48655497	3	UC
13_48662570_48671029	3	UC
13_48795768_48810948	8	EM
13_48867697_48886154	2	UC
13_49017476_49021786	2	UC
13_49547677_49553812	2	UC
13_49822034_49822675	5	EM
13_50020288_50022898	15	MM
13_50068620_50070933	9	EM
13_50158309_50162493	2	UC
13_50199398_50216258	8	EM
13_50256777_50268828	3	UC
13_50364407_50371395	2	UC
13_50507811_50512772	4	EM
13_50577302_50589988	9	EM
13_50653452_50659185	14	MM
13_51480163_51488473	2	UC
13_51794973_51802854	4	EM
13_52027328_52029980	2	UC
13_52144932_52164152	4	EM
13_52377096_52384957	2	UC
13_52433231_52439333	1	UC
13_52583634_52587063	1	UC
13_52694382_52706050	9	EM
13_52732004_52738330	8	EM
13_53024150_53027061	2	UC
13_53027062_53030367	7	EM
13_53224503_53229019	2	UC
13_53312334_53316678	8	EM
13_53422385_53423500	5	EM
13_53602133_53604163	8	EM
13_57710697_57752126	14	MM
13_58203391_58206071	5	EM
13_60733223_60740790	2	UC
13_62001755_62003421	6	EM
13_67801197_67806135	6	EM
13_73293138_73302581	3	UC
13_73355605_73360045	1.5	UC
13_74706250_74709920	4	EM
13_76054492_76056653	4	EM
13_76115847_76124510	2	UC
13_76443598_76447562	15	MM
13_77453998_77461241	7	EM
13_77520905_77523033	1	UC
13_77563430_77571739	8	EM
13_77601261_77616051	6	EM
13_77889288_77902433	2	UC
13_78108271_78113117	8	EM
13_78269958_78275708	7	EM
13_78492152_78494963	8	EM
13_79174497_79178886	4	EM
13_79231594_79239209	4	EM
13_79974094_79981903	2	UC
13_80047113_80057865	4	EM
13_80909745_80918842	5	EM
13_86370433_86375418	8	EM
13_92048616_92058490	4	EM
13_95245613_95251603	1	UC
13_95251604_95260262	2	UC
13_96085757_96087292	8	EM
13_96294884_96306042	2	UC
13_96327541_96330860	2	UC
13_97870937_97874960	5	EM
13_98086199_98087783	2	UC
13_99225596_99234792	2	UC
13_99850109_99862288	2	UC
13_99912404_99916440	8	EM
13_99959121_99963435	5	EM
14_100107608_100121051	1	UC
14_100146654_100151455	2	UC
14_100190743_100210237	4	EM
14_100431709_100440117	6	EM
14_100621624_100627485	2	UC
14_100703289_100707130	2	UC
14_100761849_100776520	2	UC
14_100788214_100800685	8	EM
14_100806104_100820441	1	UC
14_100835243_100851501	1.5	UC
14_102021985_102039600	8	EM
14_102216249_102231603	2	UC
14_102275583_102277271	2	UC
14_102429530_102432432	2	UC
14_102605117_102612300	1.5	UC
14_102783055_102788572	6	EM
14_102975138_102977710	8	EM
14_103051914_103060341	6	EM
14_103239904_103246878	3	UC
14_103364022_103391437	4	EM
14_103517781_103535413	3	UC
14_104020952_104037495	4.5	EM
14_104146001_104159585	1	UC
14_104394574_104396887	6	EM
14_104596239_104610636	4	EM
14_105040945_105057011	12	MM
14_105062801_105078181	6	EM
14_105182641_105202200	1	UC
14_105385031_105401251	2	UC
14_105426300_105449462	2	UC
14_105449463_105459989	9	EM
14_105485906_105492592	8	EM
14_105526214_105537225	8	EM
14_105630619_105648563	6	EM
14_105690793_105717132	4	EM
14_105778656_105783471	3	UC
14_105843910_105867248	8.5	EM
14_105873210_105896510	4	EM
14_105984888_106003752	8	EM
14_20343538_20347767	11	MM
14_20381942_20390314	12	MM
14_20402153_20405062	11	MM
14_20482134_20484253	11	MM
14_20498622_20507674	11	MM
14_20526717_20528759	11	MM
14_20583141_20586214	12	MM
14_20607982_20612778	11	MM
14_20660518_20668157	11	MM
14_20684559_20692629	11	MM
14_20750094_20759106	2	UC
14_20770835_20781426	2	UC
14_20795320_20806783	2	UC
14_20808512_20816149	2	UC
14_20880222_20889907	2	UC
14_20913421_20919803	1	UC
14_20919804_20923490	1	UC
14_20923491_20930159	5	EM
14_20931342_20938681	1	UC
14_20964221_20988462	12	MM
14_21050992_21061134	12	MM
14_21076915_21084877	12	MM
14_21108942_21110839	11	MM
14_21148274_21153239	8	EM
14_21212038_21216093	14	MM
14_21232604_21243406	11	MM
14_21249124_21250573	12	MM
14_21268142_21275220	11	MM
14_21359510_21363554	11	MM
14_21445501_21461087	2	UC
14_21466236_21471783	2	UC
14_21491665_21498181	5	EM
14_21498182_21504143	6	EM
14_21510330_21512156	11	MM
14_21531966_21541536	6.5	EM
14_21564364_21571464	8	EM
14_21571465_21573175	8	EM
14_21733529_21742112	6	EM
14_21752401_21759424	11	MM
14_21849555_21852847	2	UC
14_21860168_21869665	1	UC
14_21906198_21924953	1	UC
14_21941670_21951134	4.5	EM
14_21982726_21996799	11	MM
14_22126439_22136192	10	MM
14_23057696_23058407	2	UC
14_23062238_23067559	2	UC
14_23067560_23073496	2	UC
14_23235388_23237023	2	UC
14_23289232_23304581	10	MM
14_23304582_23318454	5	EM
14_23335598_23352651	9	EM
14_23381673_23388786	2	UC
14_23397393_23416653	2	UC
14_23424555_23428610	2	UC
14_23447711_23452436	8	EM
14_23477988_23486634	10	MM
