frag	phylostrata	mainAge
chr10_75659404_75671609	8	EM
chr10_7452579_7457450	5	EM
chr10_75910275_75915869	2	UC
chr10_76582604_76591193	3	UC
chr10_76813819_76818388	2	UC
chr10_76857907_76874214	2	UC
chr10_76969231_76975847	2	UC
chr10_77152036_77167684	5	EM
chr10_79394612_79399403	2	UC
chr10_7827330_7831122	1.5	UC
chr10_79668931_79688029	4	EM
chr10_79786986_79799993	1	UC
chr10_7854347_7866317	4	EM
chr10_80826155_80829926	5	EM
chr10_81106850_81114991	2	UC
chr10_81317183_81322184	9	EM
chr10_81954077_81968055	2	UC
chr10_82048530_82049914	1	UC
chr10_82103006_82108422	12	MM
chr10_82114838_82118782	2	UC
chr10_82165769_82173382	2	UC
chr10_82213383_82218671	8	EM
chr10_82283662_82301596	6	EM
chr10_83633070_83640207	8	EM
chr10_85929073_85941637	12	MM
chr10_85952182_85958117	8	EM
chr10_85980038_85987167	6	EM
chr10_85987168_86002317	8	EM
chr10_86002318_86014326	7	EM
chr10_86076862_86089150	6	EM
chr10_88411699_88415346	5	EM
chr10_88420048_88440937	4	EM
chr10_88715201_88727384	8	EM
chr10_88727385_88731045	9.5	EM
chr10_88851827_88856118	2.5	UC
chr10_89264440_89276937	2	UC
chr10_89415059_89421731	1	UC
chr10_89599096_89600893	2	UC
chr10_89600894_89601438	2	UC
chr10_89620815_89627996	8	EM
chr10_90342905_90344818	4	EM
chr10_90344819_90349912	12	MM
chr10_90414154_90426223	2	UC
chr10_90562515_90563821	2	UC
chr10_90609590_90614576	8	EM
chr10_90638215_90640944	8	EM
chr10_90751013_90752197	2	UC
chr10_90963423_90967167	6	EM
chr10_91035805_91044817	12	MM
chr10_91079614_91088455	12	MM
chr10_91134481_91140913	11	MM
chr10_91150780_91152694	11	MM
chr10_91174293_91177626	5	EM
chr10_91312096_91319188	3	UC
chr10_91404112_91407297	1	UC
chr10_91460850_91465151	5	EM
chr10_92612964_92621830	6	EM
chr10_92680316_92685707	8	EM
chr10_92922368_92928382	6	EM
chr10_93166427_93170948	2	UC
chr10_93391802_93394851	6	EM
chr10_93554026_93560584	2	UC
chr10_93659145_93673917	12	MM
chr10_93683308_93684583	1	UC
chr10_94049742_94053858	3.5	EM
chr10_94332484_94354694	1.5	UC
chr10_94448336_94451142	4	EM
chr10_94593463_94596412	2	UC
chr10_975827_979074	6	EM
chr10_94831385_94838376	2	UC
chr10_95234209_95246143	2	UC
chr10_95358713_95371428	6	EM
chr10_95514783_95524409	8	EM
chr10_95652123_95655471	1	UC
chr10_96121602_96123124	2	UC
chr10_96154623_96165253	2	UC
chr10_96827213_96833184	2	UC
chr10_97047991_97053863	6	EM
chr10_97318791_97322003	4	EM
chr10_97411328_97422510	1	UC
chr10_97452415_97456998	2	UC
chr10_98031145_98031673	6	EM
chr10_98062060_98066291	3	UC
chr10_98116986_98119636	11	MM
chr10_98269959_98283018	2	UC
chr10_98347093_98351244	2	UC
chr10_98477070_98493243	8	EM
chr10_98587476_98602363	8	EM
chr10_98942331_98947328	4	EM
chr10_99044940_99053826	4	EM
chr10_99075665_99079898	13	MM
chr10_99079899_99100340	8	EM
chr10_99205020_99206842	1.5	UC
chr10_99255245_99265644	2	UC
chr10_99322109_99340669	8	EM
chr10_99341751_99350674	5.5	EM
chr10_99391874_99396483	2	UC
chr10_99396484_99402116	3	UC
chr10_99496215_99499836	4	EM
chr10_99603439_99610471	2	UC
chr10_99773852_99794427	8	EM
chr10_99893994_99895228	2	UC
chr10_100202176_100213082	4	EM
chr10_1033144_1035562	1	UC
chr10_100993133_101000575	8	EM
chr10_101085965_101091692	1	UC
chr10_101189732_101190465	1	UC
chr10_101292229_101298224	5	EM
chr10_101378515_101380387	2	UC
chr10_101380388_101384990	2	UC
chr10_101418038_101420153	2	UC
chr10_101460233_101464460	1	UC
chr10_101488279_101499083	1	UC
chr10_101755206_101773702	4	EM
chr11_100555342_100563301	4	EM
chr11_100995851_101006639	8	EM
chr11_101741337_101747171	5	EM
chr11_101782839_101791870	8	EM
chr11_101911384_101919066	2	UC
chr11_101980476_101985328	4	EM
chr11_102183465_102190902	6	EM
chr11_102216438_102219921	6	EM
chr11_102333041_102342667	8	EM
chr11_102401063_102407653	9	EM
chr11_102495530_102496252	2	UC
chr11_1026641_1038678	1	UC
chr11_102576300_102579448	9	EM
chr11_102593319_102598962	11	MM
chr11_102662448_102673265	9	EM
chr11_102711248_102720508	2	UC
chr11_10311659_10322319	4	EM
chr11_102819747_102826967	8	EM
chr11_10325114_10330150	8	EM
chr11_102962489_102963092	2	UC
chr11_102979730_102980686	2	UC
chr11_104034560_104038568	8	EM
chr11_104839848_104840441	12	MM
chr11_104904662_104906144	8	EM
chr11_10559238_10563945	4	EM
chr11_105478042_105482335	4	EM
chr11_105891762_105894916	8	EM
chr11_105941458_105949844	1	UC
chr11_10632095_10645359	6	EM
chr11_10714137_10719545	8	EM
chr11_106887650_106890215	4	EM
chr11_10757979_10772658	2	UC
chr11_107327827_107329319	2	UC
chr11_107430664_107438368	1	UC
chr11_107460486_107464665	2	UC
chr11_107792015_107810269	3	UC
chr11_107982760_107992465	1	UC
chr11_107992466_107993153	1	UC
chr11_108091541_108093133	4	EM
chr11_108093134_108097336	2.66666666666667	UC
chr11_108337420_108341614	2	UC
chr11_108362655_108370874	2	UC
chr11_10878734_10900352	4	EM
chr11_108462593_108466253	10	MM
chr11_108526968_108539820	2	UC
chr11_109290669_109294082	9	EM
chr11_110161449_110171246	3	UC
chr11_110295196_110303826	1	UC
chr11_110578688_110584840	4	EM
chr11_111115814_111121224	8	EM
chr11_111166856_111180734	12.5	MM
chr11_111377809_111388478	7	EM
chr11_111467855_111478001	5	EM
chr11_111633900_111637819	2	UC
chr11_111748606_111750671	4	EM
chr11_111782537_111789416	9.5	EM
chr11_111792339_111797029	5	EM
chr11_111797030_111799585	4	EM
chr11_111895344_111895765	1	UC
chr11_111895766_111900142	1	UC
chr11_111935382_111945717	4	EM
chr11_111954845_111967749	2	UC
chr11_112034058_112035491	9	EM
chr11_112037372_112039965	11	MM
chr11_112041388_112046511	1	UC
chr11_112089020_112098630	1	UC
chr11_112118320_112131704	9	EM
chr11_112830293_112835685	4	EM
chr11_113173183_113186571	4	EM
chr11_113252688_113258843	2	UC
chr11_113635297_113645046	2	UC
chr11_113645047_113654752	9	EM
chr11_113744031_113757899	2	UC
chr11_113771136_113777452	8	EM
chr11_113839777_113849344	8	EM
chr11_113929460_113932061	8	EM
chr11_114127328_114130511	5	EM
chr11_114266795_114274956	9.33333333333333	EM
chr11_114305961_114312895	1	UC
chr11_114420339_114433531	7	EM
chr11_114546997_114551126	7	EM
chr11_115372514_115378908	7	EM
chr11_116640801_116647666	2	UC
chr11_116657530_116663529	9	EM
chr11_116689766_116707937	9.5	EM
chr11_116707938_116710820	9	EM
chr11_116968002_116974060	2	UC
chr11_117014364_117016742	2	UC
chr11_117049314_117056245	4	EM
chr11_117065468_117075182	6	EM
chr11_117092174_117109710	5	EM
chr11_117184785_117190088	3	UC
chr11_117686001_117689951	4	EM
chr11_117735222_117749427	8	EM
chr11_117797690_117808338	8	EM
chr11_117855822_117863860	9	EM
chr11_118046678_118047282	8	EM
chr11_118047283_118052484	8	EM
chr11_118119662_118124776	8	EM
chr11_118130594_118139201	8	EM
chr11_118172598_118177384	8	EM
chr11_118204430_118218017	9	EM
chr11_11856474_11872706	2	UC
chr11_118269623_118273053	4	EM
chr11_118397556_118398588	4	EM
chr11_118398589_118403951	8	EM
chr11_118437505_118446166	2	UC
chr11_118475650_118483793	5	EM
chr11_118546219_118554953	1	UC
chr11_118657194_118662056	2	UC
chr11_118752447_118759326	8	EM
chr11_118786462_118802518	8	EM
chr11_118825488_118846969	8	EM
chr11_118864148_118873954	2	UC
chr11_118888985_118889999	2	UC
chr11_118949285_118962933	1	UC
chr11_118962934_118972931	3.5	EM
chr11_118972932_118975046	5	EM
chr11_118976579_118981650	1	UC
chr11_118988118_118993122	4	EM
chr11_119026544_119041538	8	EM
chr11_119054556_119056286	8	EM
chr11_119184826_119202707	8	EM
chr11_119202708_119212272	6.5	EM
chr11_119212273_119221136	8	EM
chr11_119247805_119257566	2	UC
chr11_119295210_119296390	8	EM
chr11_12029127_12034003	5	EM
chr11_120038987_120045985	15	MM
chr11_120048580_120058496	9	EM
chr11_120081278_120086802	5	EM
chr11_120193985_120202822	2	UC
chr11_120205279_120211671	4	EM
chr11_12114689_12116775	4	EM
chr11_120893233_120896388	5	EM
chr11_121162346_121169475	2	UC
chr11_121315620_121323779	2	UC
chr11_122523923_122530325	6	EM
chr11_12295538_12299878	9	EM
chr11_122704641_122709565	8	EM
chr11_122742296_122754546	2	UC
chr11_122931372_122956323	2	UC
chr11_123524080_123526183	8	EM
chr11_123609808_123616651	10	MM
chr11_123622532_123626293	11	MM
chr11_12398560_12398866	4	EM
chr11_123676356_123681022	11	MM
chr11_123755168_123766282	12	MM
chr11_123771545_123779113	10	MM
chr11_123809810_123814511	11	MM
chr11_123814512_123816033	11	MM
chr11_123901823_123910232	11	MM
chr11_123985865_123988345	2	UC
chr11_124179952_124181290	11	MM
chr11_124186493_124193162	11	MM
chr11_124244505_124258424	12	MM
chr11_124265044_124277699	12	MM
chr11_124293229_124295929	12	MM
chr11_124309823_124313477	11	MM
chr11_124409018_124414517	12	MM
chr11_124438508_124444376	11	MM
chr11_124480623_124481917	8	EM
chr11_124492553_124493874	3	UC
chr11_124537244_124545317	5	EM
chr11_124607156_124613596	8	EM
chr11_124613597_124635888	9.5	EM
chr11_124668388_124673024	8	EM
chr11_124730991_124748214	4	EM
chr11_124768335_124773322	9	EM
chr11_124805379_124811976	8	EM
chr11_124815808_124824596	4	EM
chr11_124930049_124936724	1	UC
chr11_124981079_124982348	6	EM
chr11_125030573_125036686	5	EM
chr11_125364333_125368551	8	EM
chr11_125438381_125440057	2	UC
chr11_125460480_125463623	1	UC
chr11_125493297_125496741	3	UC
chr11_125549752_125550751	10	MM
chr11_125550752_125552321	10	MM
chr11_125616163_125616491	14	MM
chr11_125644699_125652227	13	MM
chr11_125703177_125704052	13	MM
chr11_125749463_125762739	4	EM
chr11_125770135_125773813	1.5	UC
chr11_125931954_125934808	8	EM
chr11_126077102_126082483	1	UC
chr11_126132611_126139406	1	UC
chr11_126167458_126186131	2	UC
chr11_12688193_12699875	4	EM
chr11_128449766_128458801	4	EM
chr11_128556083_128557365	4	EM
chr11_128735340_128738882	8	EM
chr11_128755276_128761759	8	EM
chr11_128764796_128776115	15	MM
chr11_129147762_129152062	5	EM
chr11_129240137_129253530	8	EM
chr11_129762164_129769539	4	EM
chr11_129862357_129873115	6	EM
chr11_129936462_129941230	4	EM
chr11_130029015_130031127	8	EM
chr11_130181028_130190208	7	EM
chr11_130316168_130326205	5	EM
chr11_130536228_130544837	15	MM
chr11_130782289_130795022	7	EM
chr11_131237804_131240612	6	EM
chr11_13297566_13300797	5	EM
chr11_133397265_133406953	8	EM
chr11_133713086_133720159	10	MM
chr11_133825146_133827748	6	EM
chr11_133938226_133943075	7	EM
chr11_134090389_134100054	2	UC
chr11_134121555_134127162	1.66666666666667	UC
chr11_134198546_134204436	1	UC
chr11_134280174_134291932	2	UC
chr11_13484161_13485415	4	EM
chr11_13516254_13518099	8	EM
chr11_13685278_13692323	2	UC
chr11_1408116_1418186	2	UC
chr11_14384456_14387081	2	UC
chr11_14911285_14913740	8	EM
chr11_14913741_14919753	8	EM
chr11_14986587_14995358	8	EM
chr11_15133893_15135558	6	EM
chr11_16628042_16635632	6	EM
chr11_16759103_16763174	6	EM
chr11_17033815_17048691	7	EM
chr11_17091057_17100015	1	UC
chr11_17223114_17229493	2	UC
chr11_17229494_17237094	3	UC
chr11_17372524_17375414	12	MM
chr11_17399180_17413539	8	EM
chr11_1765300_1774447	9	EM
chr11_17490949_17499574	1	UC
chr11_1774448_1789265	2	UC
chr11_17564553_17567759	5	EM
chr11_17567760_17575533	1	UC
chr11_17740600_17747269	6	EM
chr11_17753298_17757101	4	EM
chr11_18024705_18036706	3	UC
chr11_18062469_18065462	6	EM
chr11_18125985_18131747	5	EM
chr11_18139484_18144359	10	MM
chr11_18216560_18235163	15	MM
chr11_1841987_1867905	10	MM
chr11_18252731_18263625	12	MM
chr11_18337200_18347101	2	UC
chr11_18408536_18421639	1	UC
chr11_18428574_18435871	1	UC
chr11_18470726_18479549	1	UC
chr11_1869237_1879292	8	EM
chr11_18548233_18548954	2	UC
chr11_18606020_18617938	8	EM
chr11_18654585_18658044	2	UC
chr11_18712562_18715055	1	UC
chr11_18745508_18752924	8	EM
chr11_18812580_18818174	8	EM
chr11_189404_205377	5.5	EM
chr11_19082052_19082284	11	MM
chr11_19224055_19239054	2	UC
chr11_19258614_19263628	4	EM
chr11_19368898_19373794	4	EM
chr11_1959541_2001733	2	UC
chr11_20179621_20183484	4	EM
chr11_20384160_20385808	1	UC
chr11_20406848_20409908	2	UC
chr11_205378_211718	3	UC
chr11_20620436_20621821	1	UC
chr11_20686719_20697716	6	EM
chr11_2175865_2185890	6	EM
chr11_2185891_2195479	1	UC
chr11_22208707_22220761	2	UC
chr11_22354905_22362252	1	UC
chr11_22634465_22649497	7	EM
chr11_22850128_22851664	6	EM
chr11_22851665_22858552	6	EM
chr11_2319678_2334458	12	MM
chr11_233448_242697	1.5	UC
chr11_2388231_2398079	8	EM
chr11_2398080_2421129	8	EM
chr11_2421130_2433553	5	EM
chr11_2433554_2457868	8	EM
chr11_2457869_2471607	1	UC
chr11_24517081_24519084	8	EM
chr11_26593091_26594739	10	MM
chr11_26744449_26748436	1	UC
chr11_267734_295654	12	MM
chr11_27015006_27017380	8	EM
chr11_27061199_27062291	3	UC
chr11_27384971_27386044	4	EM
chr11_27487553_27499051	6	EM
chr11_27525697_27535074	4	EM
chr11_27743135_27745246	6	EM
chr11_28122822_28135601	1.5	UC
chr11_2904920_2914487	6	EM
chr11_2914488_2925202	2	UC
chr11_2942005_2956183	8	EM
chr11_295655_309575	8	EM
chr11_30030631_30039464	2	UC
chr11_30341009_30350357	4	EM
chr11_3074984_3081678	1	UC
chr11_30595395_30610157	2	UC
chr11_31391102_31397080	2	UC
chr11_31530655_31532402	2	UC
chr11_3187816_3196211	2	UC
chr11_31826234_31834881	6	EM
chr11_31835029_31840462	4	EM
chr11_3237645_3245575	12	MM
chr11_32453265_32457531	8	EM
chr11_32605092_32610203	2	UC
chr11_32808485_32816314	9	EM
chr11_32913841_32915995	8	EM
chr11_33055447_33065909	3	UC
chr11_33183489_33184240	2	UC
chr11_33278153_33282590	2	UC
chr11_33563506_33568241	4	EM
chr11_33721409_33722658	9	EM
chr11_33744659_33758512	5	EM
chr11_3397679_3402787	2	UC
chr11_33791756_33797210	1	UC
chr11_34069856_34080461	4	EM
chr11_34124344_34128051	1	UC
chr11_34376256_34385647	5	EM
chr11_34459689_34467286	1	UC
chr11_34534912_34536098	9	EM
chr11_34935206_34937401	2	UC
chr11_34937402_34946813	1.5	UC
chr11_35154929_35161467	8	EM
chr11_35437877_35450922	1	UC
chr11_355508_378379	4	EM
chr11_35636413_35644746	6	EM
chr11_35683346_35695671	8	EM
chr11_35964063_35966307	8	EM
chr11_36302345_36311291	2	UC
chr11_36317214_36319391	4	EM
chr11_3658123_3665613	10	MM
chr11_36528362_36538466	8	EM
chr11_36611605_36616914	4	EM
chr11_36616915_36625721	8	EM
chr11_3690306_3698103	10	MM
chr11_3817752_3820240	3.5	EM
chr11_3860032_3863125	8	EM
chr11_3872404_3879208	4	EM
chr11_388132_428368	8	EM
chr11_4115324_4123273	1	UC
chr11_41475531_41482231	6	EM
chr11_43333371_43345042	2	UC
chr11_43380051_43382879	4	EM
chr11_4386043_4392551	11	MM
chr11_43695466_43707338	1	UC
chr11_43895700_43902835	1	UC
chr11_4409809_4416740	12	MM
chr11_43942999_43952149	9	EM
chr11_439301_449843	5	EM
chr11_44068373_44071468	2	UC
chr11_44113771_44122836	2	UC
chr11_44325331_44332613	5	EM
chr11_4463939_4472503	11	MM
chr11_4493659_4513536	11	MM
chr11_44968559_44980880	5	EM
chr11_45114644_45119018	8	EM
chr11_45307467_45308528	8	EM
chr11_4565959_4574314	11	MM
chr11_45684998_45689205	5	EM
chr11_4596670_4600073	15	MM
chr11_45864695_45871895	1	UC
chr11_4607261_4611904	9	EM
chr11_45905354_45912051	4	EM
chr11_45926990_45948017	6.5	EM
chr11_4614391_4618529	9	EM
chr11_4624512_4630881	12	MM
chr11_46138615_46144362	4	EM
chr11_46296055_46301353	2	UC
chr11_4658915_4666631	9	EM
chr11_46405245_46414442	8	EM
chr11_46638963_46643007	3	UC
chr11_46714155_46725180	8	EM
chr11_46863859_46872538	2	UC
chr11_4717860_4719197	9	EM
chr11_4725264_4726718	12	MM
chr11_47189560_47204147	2	UC
chr11_47204148_47219153	8	EM
chr11_47263144_47270925	2	UC
chr11_47280814_47294257	4	EM
chr11_47396637_47415972	8	EM
chr11_47424725_47428857	4	EM
chr11_47428858_47455991	3	UC
chr11_47469836_47473490	6	EM
chr11_47577209_47594560	1.5	UC
chr11_47598873_47600306	8	EM
chr11_47600307_47602283	8	EM
chr11_47605996_47613260	11	MM
chr11_47613261_47617276	8	EM
chr11_47660431_47666647	4	EM
chr11_4789512_4794703	11	MM
chr11_47731934_47738084	2	UC
chr11_47782538_47797483	4	EM
chr11_47865933_47873143	2	UC
chr11_48001307_48004168	8	EM
chr11_4839858_4849535	11	MM
chr11_48277311_48285644	12	MM
chr11_48326028_48338571	11	MM
chr11_48386729_48389031	10	MM
chr11_4869839_4870941	11	MM
chr11_4900707_4903419	11	MM
chr11_4926929_4928627	11	MM
chr11_4934701_4937865	12	MM
chr11_4940073_4947277	12	MM
chr11_49229439_49234302	2	UC
chr11_4962231_4974744	11	MM
chr11_5018575_5020671	10	MM
chr11_503750_509204	4	EM
chr11_5064178_5072904	11	MM
chr11_5076468_5081547	11	MM
chr11_5146607_5154906	11	MM
chr11_5203705_5208247	10	MM
chr11_5218975_5222787	10	MM
chr11_5243047_5250845	8	EM
chr11_5321717_5325666	12	MM
chr11_5343855_5346585	13	MM
chr11_5363590_5368288	11	MM
chr11_5407715_5412353	12	MM
chr11_5421775_5424119	10	MM
chr11_5442273_5444655	11	MM
chr11_5469843_5475171	11	MM
chr11_5505727_5514498	10	MM
chr11_5525862_5527717	8	EM
chr11_5527718_5533867	11	MM
chr11_55106340_55110658	12	MM
chr11_55132670_55136147	8	EM
chr11_5566273_5571129	11	MM
chr11_55320613_55321956	10	MM
chr11_55321957_55340495	9	EM
chr11_55370347_55373989	8	EM
chr11_55405780_55408233	8	EM
chr11_55408234_55421253	10	MM
chr11_55431362_55433673	11	MM
chr11_55535881_55542044	12	MM
chr11_55561734_55563101	11	MM
chr11_5600742_5604450	11	MM
chr11_55576650_55584637	11	MM
chr11_55605574_55612114	12	MM
chr11_55679594_55687346	11	MM
chr11_55701310_55704445	9	EM
chr11_55735407_55738415	11	MM
chr11_55796423_55801388	11	MM
chr11_55858775_55873225	12	MM
chr11_55879657_55890555	12	MM
chr11_55895738_55910229	10	MM
chr11_55922482_55928755	12	MM
chr11_55942594_55945103	9	EM
chr11_55999277_56005002	12	MM
chr11_56017532_56021161	10	MM
chr11_56039944_56043148	10	MM
chr11_56057831_56059452	12	MM
chr11_56081048_56091255	10	MM
chr11_56108773_56114765	12	MM
chr11_56127570_56129662	10	MM
chr11_56139678_56146635	9	EM
chr11_56178454_56186811	11	MM
chr11_56229084_56239180	11	MM
chr11_565318_588724	4	EM
chr11_56408694_56417162	11	MM
chr11_56426957_56437578	11	MM
chr11_56460476_56474419	12	MM
chr11_56509240_56511352	11	MM
chr11_5707361_5712025	6	EM
chr11_57003015_57008193	8	EM
chr11_57081187_57092993	10	MM
chr11_57097519_57103303	2	UC
chr11_57103304_57107461	5	EM
chr11_5757180_5758850	10	MM
chr11_57146607_57149705	9	EM
chr11_57156486_57159096	10	MM
chr11_57218405_57233336	8	EM
chr11_57280663_57286440	5	EM
chr11_57295377_57298400	2	UC
chr11_57303988_57318023	5	EM
chr11_5775400_5779647	10	MM
chr11_57330427_57349451	12	MM
chr11_57360220_57364896	8	EM
chr11_57413535_57427540	1.5	UC
chr11_57433061_57436176	2	UC
chr11_57478003_57481050	4	EM
chr11_5793077_5800413	11	MM
chr11_57507974_57508922	2	UC
chr11_57508923_57520073	8	EM
chr11_57520074_57527860	7	EM
chr11_57790298_57794554	11	MM
chr11_57796734_57802002	11	MM
chr11_57886357_57893860	11	MM
chr11_5838835_5843217	10	MM
chr11_57957873_57960865	11	MM
chr11_57965328_57971735	11	MM
chr11_57990304_57997110	11	MM
chr11_58034029_58041300	11	MM
chr11_58122430_58127081	11	MM
chr11_58166914_58174266	12	MM
chr11_58190128_58197095	13	MM
chr11_58274435_58281430	11	MM
chr11_58344426_58354994	8	EM
chr11_58382172_58391625	9	EM
chr11_58497741_58509728	6	EM
chr11_5895650_5912224	10	MM
chr11_58669719_58675170	10	MM
chr11_58936830_58950030	5	EM
chr11_58972392_58980385	5	EM
chr11_58980386_58985520	5	EM
chr11_5953786_5968611	12.5	MM
chr11_59131538_59132738	12	MM
chr11_59185789_59198048	10	MM
chr11_59208298_59215636	11	MM
chr11_59224030_59230898	11	MM
chr11_59265032_59272742	11	MM
chr11_59379793_59396406	2	UC
chr11_59434891_59437290	4	EM
chr11_59514192_59525727	2	UC
chr11_59576710_59584315	1	UC
chr11_59610287_59613611	4	EM
chr11_6005742_6008338	8	EM
chr11_59631864_59644214	10	MM
chr11_6022153_6024702	10	MM
chr11_59805597_59811804	12	MM
chr11_59814061_59826051	11	MM
chr11_59852725_59855785	7	EM
chr11_59951490_59952221	12	MM
chr11_60009789_60012945	16	MM
chr11_6046451_6050970	10	MM
chr11_60101782_60107289	15	MM
chr11_60141836_60154348	6	EM
chr11_60215020_60224420	10	MM
chr11_60258099_60263259	9	EM
chr11_60281589_60290648	13	MM
chr11_60462900_60474999	10	MM
chr11_60493832_60505138	15	MM
chr11_60524063_60528802	10	MM
chr11_60551489_60560008	13	MM
chr11_60602486_60611597	2	UC
chr11_60611598_60624531	8	EM
chr11_60670946_60675414	2	UC
chr11_60678898_60682889	8	EM
chr11_60691735_60694173	10	MM
chr11_60698768_60721371	11	MM
chr11_60731770_60742356	10	MM
chr11_6125334_6129439	10	MM
chr11_60865719_60872205	9	EM
chr11_60925471_60937278	8	EM
chr11_61055283_61079204	10	MM
chr11_61099735_61109387	2	UC
chr11_61109698_61114122	2	UC
chr11_61126744_61131078	11.5	MM
chr11_61159012_61168842	2	UC
chr11_61194195_61201965	1.33333333333333	UC
chr11_61267630_61277402	8	EM
chr11_61344579_61351336	4	EM
chr11_61445556_61448768	2	UC
chr11_61509454_61525000	4	EM
chr11_61554194_61560463	1.66666666666667	UC
chr11_61560464_61562297	2	UC
chr11_61656827_61667898	2	UC
chr11_61679894_61687463	4	EM
chr11_61687464_61690643	4	EM
chr11_61711928_61729238	6	EM
chr11_61730127_61737205	1	UC
chr11_6219439_6237311	11	MM
chr11_61888168_61901678	4	EM
chr11_61975218_61981443	14	MM
chr11_62030621_62038324	13	MM
chr11_62065719_62067218	15	MM
chr11_6253443_6258146	6.5	EM
chr11_62095553_62129531	1	UC
chr11_62158091_62187454	10	MM
chr11_62320337_62328425	2	UC
chr11_6280277_6281762	6	EM
chr11_62364829_62376341	4	EM
chr11_62377953_62399996	5.66666666666667	EM
chr11_62407272_62422844	2.5	UC
chr11_62441447_62457025	2	UC
chr11_62457026_62457548	10	MM
chr11_62462849_62480328	5	EM
chr11_62484680_62502674	13	MM
chr11_62519897_62526699	8	EM
chr11_62526700_62531538	1	UC
chr11_62538519_62544949	4	EM
chr11_62552270_62559742	6	EM
chr11_62563770_62575324	2	UC
chr11_62595016_62600620	2	UC
chr11_62607160_62610470	2	UC
chr11_62622072_62625362	6	EM
chr11_62687175_62689760	10	MM
chr11_62747310_62754300	8	EM
chr11_62777176_62793874	10	MM
chr11_631027_643642	8	EM
chr11_6338116_6342459	11	MM
chr11_62995644_63000475	12	MM
chr11_63133539_63140915	12	MM
chr11_63272942_63281539	6	EM
chr11_63301578_63305926	8	EM
chr11_63366839_63388021	8	EM
chr11_63438234_63440649	4	EM
chr11_63578636_63582781	10	MM
chr11_63604712_63606411	2	UC
chr11_63606412_63606943	2	UC
chr11_6410655_6418631	2	UC
chr11_63680529_63698929	4	EM
chr11_63705514_63711319	2	UC
chr11_63736782_63742252	8	EM
chr11_63742253_63768177	5	EM
chr11_63867868_63876784	8	EM
chr11_63931195_63949490	1	UC
chr11_63950963_63960494	1	UC
chr11_63973064_63975366	4	EM
chr11_64018577_64030883	4	EM
chr11_64030884_64040168	11	MM
chr11_64046688_64052672	8	EM
chr11_64052673_64075265	8.66666666666667	EM
chr11_64076978_64089926	1.5	UC
chr11_64102922_64116167	11	MM
chr11_64121969_64133959	2	UC
chr11_6462980_6464193	8	EM
chr11_64489785_64499243	6	EM
chr11_6494008_6497564	5	EM
chr11_64523886_64530983	1	UC
chr11_64544825_64559208	2	UC
chr11_64562274_64610125	4	EM
chr11_6501118_6503638	5.66666666666667	EM
chr11_64610126_64612853	3	UC
chr11_64655001_64658314	2	UC
chr11_64666308_64691993	2	UC
chr11_64701540_64704767	6	EM
chr11_6515361_6520447	4	EM
chr11_64774360_64785372	2	UC
chr11_64818664_64833768	8	EM
chr11_64843541_64852971	2	UC
chr11_64852972_64863834	2	UC
chr11_64870012_64881677	2	UC
chr11_64881678_64885242	2	UC
chr11_64886199_64892153	1.5	UC
chr11_64937525_64940020	10	MM
chr11_65027159_65032175	2	UC
chr11_65097435_65107029	4	EM
chr11_65121818_65123301	12	MM
chr11_65143798_65159881	5	EM
chr11_65288437_65293685	2	UC
chr11_65324887_65332627	8	EM
chr11_65337746_65350263	4.66666666666667	EM
chr11_65355232_65370739	10	MM
chr11_65473856_65480278	2	UC
chr11_65480279_65491397	2	UC
chr11_65542525_65560509	4	EM
chr11_65600557_65607749	4	EM
chr11_65616145_65627750	2	UC
chr11_65627751_65646743	5	EM
chr11_65646744_65657865	6.66666666666667	EM
chr11_65664081_65668293	5	EM
chr11_65669066_65692121	2.5	UC
chr11_65725868_65736505	2	UC
chr11_65761939_65782934	3.66666666666667	EM
chr11_6621582_6625416	3.33333333333333	EM
chr11_65834650_65841747	4	EM
chr11_6628173_6634338	2	UC
chr11_66021834_66031298	1	UC
chr11_66034024_66040352	2	UC
chr11_66040703_66047723	8	EM
chr11_66081528_66085273	8	EM
chr11_66102537_66106819	8	EM
chr11_66111767_66113210	6	EM
chr11_66188228_66194578	6	EM
chr11_6674277_6678523	4	EM
chr11_66309669_66324682	4	EM
chr11_66359183_66365156	3	UC
chr11_66379170_66385266	5	EM
chr11_66444372_66446168	5	EM
chr11_6692334_6709743	1	UC
chr11_66589734_66611677	2	UC
chr11_66616990_66634461	8	EM
chr11_66721794_66726614	1	UC
chr11_66823222_66845109	11	MM
chr11_67039530_67061949	2	UC
chr11_67083125_67086997	2	UC
chr11_67141091_67149153	8	EM
chr11_67154977_67185421	6	EM
chr11_67190359_67206590	6.5	EM
chr11_67218909_67244423	9.33333333333333	EM
chr11_67244424_67255569	2	UC
chr11_67255570_67278874	4	EM
chr11_67396123_67398898	1	UC
chr11_67399352_67413869	5	EM
chr11_6786047_6790233	11	MM
chr11_6790234_6799706	11	MM
chr11_6805688_6813283	11	MM
chr11_6813768_6822263	11	MM
chr11_67761593_67778910	8	EM
chr11_67793286_67800950	1	UC
chr11_67875850_67894809	2	UC
chr11_68038131_68045341	9	EM
chr11_68225368_68229920	2	UC
chr11_68440280_68453287	7	EM
chr11_6896987_6901264	9	EM
chr11_68589544_68614838	2	UC
chr11_68666738_68671755	1	UC
chr11_6912588_6922330	11	MM
